piso,tope,max_examen,pend,limite,costo_nuevo,diferencia_limite,cambio_porcen_limite,costo_viejo,diferencia_metodo,FIJO20_diferencia_limite_boot,FIJO20_media_boot,FIJO20_std_boot,FIJO20_porcentaje_inferior_0,MITAD_MAS_diferencia_limite_boot,MITAD_MAS_media_boot,MITAD_MAS_std_boot,MITAD_MAS_porcentaje_inferior_0,DOBLE_diferencia_limite_boot,DOBLE_media_boot,DOBLE_std_boot,DOBLE_porcentaje_inferior_0
12000,45000,150,275.0,1260000.0,2630125.0,-1370125.0,-1.0874007936507937,686400,-1943725.0,"[ -149550.   -88875.  -364375.  -356125.  -451900.  -100150.  -561700.
  -195925.   252150.  -988600.  -551525.  -495975.  -644275.  -754250.
 -1029750.  -234325.   -83475.  -383900.  -675350.  -315800.  -203350.
  -607150.  -509550.  -140475.  -749675.]",-415355.0,296438.9983622263,0.96,"[-1058800.  -413950.  -773675.  -125900. -1136150.  -999225.  -395625.
  -386000.  -754700. -1060175.  -889975.  -762500. -1256850. -1020675.
  -919675.  -510000. -1088950.  -873575.  -771475.  -977050.  -971825.
 -1263450.  -845075.  -867800. -1157500.]",-851223.0,284816.44781507965,1.0,"[ -799250. -1047525.  -960000.  -840575. -1370125.  -853500. -1198925.
  -568200. -1114425. -1236225.  -585425. -1185550. -1046425. -1218450.
 -1056500.  -881725. -1370125.  -619250. -1280125.  -927650.  -849750.
 -1241725.  -904825.  -875875.  -789625.]",-992871.0,228948.21932917496,1.0
12000,45000,180,220.0,1260000.0,2141240.0,-881240.0,-0.6993968253968254,686400,-1454840.0,"[-380220. -142880. -456140. -142340. -396180. -353820.  211180. -196700.
 -188560. -327180.  -26480.   88840. -676540. -357440. -371420. -495200.
 -210460. -406740. -526560. -581360. -358980. -328180. -192400. -132220.
 -241040.]",-287560.8,198539.3292608797,0.92,"[-294400. -787120. -569040. -235320. -509840. -483100. -777320. -557260.
 -634060. -669380. -774680. -490260. -472100. -583020. -751680. -366800.
 -519740. -254360. -771380. -435240. -489600. -621300. -313220. -488380.
 -599840.]",-537937.6,161673.7461749433,1.0,"[-852140. -698100. -983740. -648480. -971420. -618660. -938960. -832780.
 -971420. -771380. -590500. -720000. -451420. -646720. -791520. -938960.
 -627460. -953920. -912660. -518200. -669280. -659040. -387720. -922780.
 -503900.]",-743246.4,175735.71973574412,1.0
12000,50000,110,475.0,1260000.0,4288500.0,-3028500.0,-2.4035714285714285,686400,-3602100.0,"[ -723375.  -692500.  -592500.  -342500.  -690000.  -543450.  -709125.
  -793450.  -642500.  -722425.  -722425.  -222425.  -709125.  -709125.
 -1090000.  -910075.  -442500.  -739050.  -243450.  -593450. -1122425.
 -1092500.  -272425.  -759125.  -593450.]",-666935.0,236019.9077408514,1.0,"[ -872425. -1172425. -1142500. -1122425.  -693450. -1092500. -1543450.
 -1042500. -1393450.  -492500. -1192500. -1343450. -1392500.  -992500.
 -1073375. -1593450.  -842500. -1442500. -1542500. -1292500. -1392500.
 -1192500.  -792500.  -792500.  -942500.]",-1135516.0,281561.1754912243,1.0,"[-1643450. -1442500. -1342500.  -942500. -1442500. -1143450. -1722425.
 -1222425. -1392500. -1742500. -1842500. -1292500. -1392500. -1342500.
  -842500. -1542500. -1592500. -1693450. -1242500. -1322425. -1159125.
 -1659125. -1342500. -1642500. -1292500.]",-1409535.0,243848.90608735566,1.0
12000,50000,150,317.0,1260000.0,2915835.0,-1655835.0,-1.314154761904762,686400,-2229435.0,"[ -881552.  -618124.  -583611. -1127157.  -336147.  -588640.  -863609.
  -491542. -1015822.  -738129.  -990708.  -196177.  -550338.  -629499.
  -849615.  -590625.  -226643.  -656589.  -562061.  -313837.  -667967.
  -452194.  -825218.  -792053.  -801760.]",-653984.68,235801.37780491784,1.0,"[-1430758.  -933180. -1098230.  -913252. -1134925. -1182823.  -796565.
  -872362.  -949378.  -539874. -1276166. -1068355. -1160747.  -224101.
  -625963.  -743315.  -983134. -1192524.  -636864. -1264120.  -844272.
  -785676.  -879573. -1062375. -1195537.]",-951762.76,264800.80032934644,1.0,"[-1017724. -1291773. -1438446. -1131072. -1577945.  -913603. -1085470.
 -1059399.  -977591. -1070571. -1136541. -1578579. -1321088. -1541853.
 -1569703.  -775643. -1410390.  -981309. -1231469. -1619109. -1419703.
 -1410390. -1469703. -1192564. -1433571.]",-1266208.36,236802.4455554258,1.0
12000,50000,180,253.0,1260000.0,2367376.0,-1107376.0,-0.8788698412698412,686400,-1680976.0,"[-381885.  -56920. -113304.   86099.  -83738. -278696. -598239. -455473.
   55377.  -84462. -503146. -435124. -539831. -164772. -728861. -161374.
 -204964. -484930. -667382. -412716. -822798. -436245.  -32632.  -59450.
 -358862.]",-316973.12,247360.57586192994,0.92,"[ -684586.  -113304.  -625925.  -636407.  -922192.  -975793.  -961119.
  -420956. -1144474.  -601890.  -503146.  -953023.  -794209.  -571530.
  -976299.  -265287.  -717079.  -475063.  -679020.  -630841.  -612263.
  -624769.  -964805.  -610998.  -453702.]",-676747.2,238392.05971894282,1.0,"[-1095536.  -982480.  -910916.  -850231.  -820124.  -914458. -1068103.
  -980853.  -821786. -1018406.  -670815.  -657153.  -953023.  -786113.
  -695827.  -931662.  -949625.  -786113. -1242712. -1080356.  -967697.
 -1008792. -1128029.  -825184. -1121704.]",-930707.92,147530.50354416066,1.0
16000,30000,110,175.0,1260000.0,2610500.0,-1350500.0,-1.0718253968253968,686400,-1924100.0,"[ 576125.  227500.  101025.  197500.  -42850.  366475.  281375. -359650.
 -192500. -138625.  131375.  401375.    6475.  167500. -312500.  281025.
  197150. -233525. -192500.  -23525.  -53875.  287500.   47500. -168625.
  -48625.]",60124.0,234620.17490829725,0.44,"[  17500. -102500. -522850.  -18975. -468625.  -72500.   90350.  131375.
 -282850. -252500.  -72500.   47500. -192500. -468625. -552500. -252500.
  -72500. -162500. -132850. -222500.   96475. -239650. -552500.  -18625.
   17500.]",-170394.0,205659.69662041223,0.76,"[-612500. -443525. -353525. -468625. -372500. -383525.  -72500. -372500.
 -143525. -432500. -108625. -468625. -432500. -342500. -203525. -552500.
 -342850. -203525. -413525. -192500. -222500. -552500. -432500. -402850.
 -282500.]",-352350.0,139083.22454559358,1.0
16000,30000,150,117.0,1260000.0,1804835.0,-544835.0,-0.43240873015873016,686400,-1118435.0,"[ 383990.  274377.   75349.  142466.  316034.  344473.  -62278. -109788.
  191542.  133334.   33455.   14818.   72284.  -88571.  358393.  206875.
  -65745.  238122.  -35902.   29791.  351139.  162364.  284667.   30262.
  323722.]",144206.92,155307.6477150871,0.2,"[-191033. -419830. -291052.  -63645.   34397. -250679. -374854. -310679.
  -86505.  -29824. -163179. -230387.  -93562. -426159. -526846. -149744.
   62876.    4077.  124354. -183411.  -82767. -263820.  -60754. -349688.
  -58731.]",-175257.8,163959.85860496465,0.84,"[-433179. -488656. -426159. -314500. -155999. -198164. -307323. -471680.
 -231594. -256683. -338656. -202490. -474956. -429044.  -74648. -454835.
 -484835. -372397.   40635. -357644. -193333. -391037. -526846. -399980.
 -446788.]",-335631.64,141329.9079362553,0.96
16000,30000,180,93.0,1260000.0,1484656.0,-224656.0,-0.1782984126984127,686400,-798256.0,"[129041. 245586. 196567. 430126. 161688. 211730.  19936. 255816. -88243.
 179083. 345205. -23038. -50291. 130994. 277396.  63836.  75930. 114254.
 175456. 353110. 419338. 267538. 210800. -59684. 123833.]",166640.28,139787.05153154064,0.16,"[  29329.   48770.  197869.   80487.  -72894.  191545.   14542. -157815.
 -163860.   59279.   95557. -149445.   47561. -136793. -269059.   35002.
 -254268. -151398.  223355. -228228.   14910.   56582.   -4248.  239634.
 -168417.]",-16880.12,147521.7374654515,0.44,"[-310824.  -39317. -224880. -289709. -225438. -225438. -235482. -213623.
 -257434. -204137. -342448.   26725. -390072. -137444. -147399. -103123.
 -366818. -333334. -127772.  -25828.  -23503. -268315.  -38015. -180511.
 -234180.]",-196732.76,113350.4271872956,0.96
16000,35000,110,238.0,1260000.0,3036280.0,-1776280.0,-1.4097460317460317,686400,-2349880.0,"[-291320. -125046.  128680.  -81320. -160046. -299610. -125046.  -61274.
 -159610.   78726. -201710.   58244. -376274. -124610. -291756.  128680.
 -419564.   23244.  155390. -244564. -376274. -151756. -271710.  190390.
   58680.]",-117578.24,177317.26488422495,0.68,"[-439610. -559564. -536320. -606756. -256320. -124610. -551274. -326320.
 -396320. -341274. -614610. -656274. -404610. -326320. -501320. -431320.
 -571320. -466320. -501756. -105000. -221320. -606320. -509610. -396756.
 -116320.]",-422701.76,158781.2799488101,1.0,"[-754610. -536320. -676320. -711320. -606320. -711320. -851320. -781320.
 -676756. -641320. -571320. -851320. -831274. -921320. -746320. -676320.
 -851320. -676320. -761274. -781320. -684610. -781320. -606320. -509610.
 -641320.]",-713528.56,103112.84366094459,1.0
16000,35000,150,158.0,1260000.0,2085210.0,-825210.0,-0.6549285714285714,686400,-1398810.0,"[-348012.  249784. -165826. -135880.  162642.    2774.    7118. -266752.
  199540.  -87252.   84428. -220062. -208840.  237066. -119726. -132522.
   58986.  -21282. -291088.  -31120.   13522. -104990.   97110. -247596.
  318126.]",-37994.08,178719.5562389119,0.56,"[-690464. -263358. -290774. -258300. -662812. -348486. -711282. -263516.
 -454238. -299346. -351014. -161952.  -66318. -363894.    9056. -634094.
 -291604. -277420. -291126. -537272. -273668. -540748. -379694. -329328.
 -421490.]",-366125.68,178844.7152459854,0.96,"[-585464. -567334. -521550. -586810. -636938. -617346. -447088. -540668.
 -488486. -694376. -617346. -467194. -696350. -704330. -419670. -450524.
 -703698. -277500. -687266. -624930. -492200. -606164. -480192. -352202.
 -213310.]",-539157.44,129287.54535842345,1.0
