piso,tope,max_correccion,divide_en_max,correctores_inicial,agregan,porcen_corregir,pend,limite,FIJO20_costo_bootstrap,FIJO20_media_costo,FIJO20_diferencia_limite_boot,FIJO20_media_boot,FIJO20_std_boot,FIJO20_porcentaje_inferior_0,MITAD_MAS_costo_bootstrap,MITAD_MAS_media_costo,MITAD_MAS_diferencia_limite_boot,MITAD_MAS_media_boot,MITAD_MAS_std_boot,MITAD_MAS_porcentaje_inferior_0,DOBLE_costo_bootstrap,DOBLE_media_costo,DOBLE_diferencia_limite_boot,DOBLE_media_boot,DOBLE_std_boot,DOBLE_porcentaje_inferior_0
6000,35000,80,1,2,1,1.0,362.0,3950000,"[3579014. 3875192. 3662690. 5175436. 3480134. 3625042. 3707270. 3153856.
 2625320. 3027772. 3111656. 3556054. 3992380. 3306574. 3417246. 3960470.
 3774502. 3359896. 2969852. 3826838.]",3559359.7,"[  370986.    74808.   287310. -1225436.   469866.   324958.   242730.
   796144.  1324680.   922228.   838344.   393946.   -42380.   643426.
   532754.   -10470.   175498.   590104.   980148.   123162.]",390640.3,510515.02244430577,0.15,"[5380906. 5847540. 5626096. 5699428. 4839546. 5829648. 4488598. 5367566.
 5551054. 5403458. 5274116. 5541588. 4905068. 4858886. 5212106. 5337104.
 5651952. 5665346. 4523458. 5654278.]",5332887.1,"[-1430906. -1897540. -1676096. -1749428.  -889546. -1879648.  -538598.
 -1417566. -1601054. -1453458. -1324116. -1591588.  -955068.  -908886.
 -1262106. -1387104. -1701952. -1715346.  -573458. -1704278.]",-1382887.1,399022.4807268257,1.0,"[7175820. 7406884. 8535486. 7098090. 7217296. 6643348. 6403234. 6806310.
 6677484. 6925516. 7592598. 6931978. 6861280. 5528664. 6842148. 7359878.
 6872302. 8042942. 7125810. 6690100.]",7036858.4,"[-3225820. -3456884. -4585486. -3148090. -3267296. -2693348. -2453234.
 -2856310. -2727484. -2975516. -3642598. -2981978. -2911280. -1578664.
 -2892148. -3409878. -2922302. -4092942. -3175810. -2740100.]",-3086858.4,596844.455451703,1.0
6000,35000,80,1,2,1,0.5,362.0,3950000,"[1728152. 2002972. 2238850. 1795176. 1769990. 1803710. 1996610. 1817258.
 1885576. 2286996. 2386600. 1817982. 1617996. 1658232. 1677472. 2290670.
 1923586. 1490880. 1864788. 1677472.]",1886548.4,"[2221848. 1947028. 1711150. 2154824. 2180010. 2146290. 1953390. 2132742.
 2064424. 1663004. 1563400. 2132018. 2332004. 2291768. 2272528. 1659330.
 2026414. 2459120. 2085212. 2272528.]",2063451.6,240517.34496089883,0.0,"[3030006. 2811866. 2886492. 2712416. 2619744. 2430148. 2562648. 2633754.
 2975082. 3102976. 3095274. 3391036. 3058812. 2706416. 3051210. 2948810.
 2672026. 2604586. 2985580. 2933814.]",2860634.8,"[ 919994. 1138134. 1063508. 1237584. 1330256. 1519852. 1387352. 1316246.
  974918.  847024.  854726.  558964.  891188. 1243584.  898790. 1001190.
 1277974. 1345414.  964420. 1016186.]",1089365.2,231816.87653093768,0.0,"[3516242. 3914558. 3679304. 4003102. 3695802. 3833370. 3618072. 3864602.
 3719178. 3657168. 4257750. 4317950. 3803424. 3172226. 3471770. 4163730.
 3960224. 3921698. 4074208. 3458168.]",3805127.3,"[ 433758.   35442.  270696.  -53102.  254198.  116630.  331928.   85398.
  230822.  292832. -307750. -367950.  146576.  777774.  478230. -213730.
  -10224.   28302. -124208.  491832.]",144872.7,280141.4266725112,0.3
6000,35000,80,1,2,1,0.35,362.0,3950000,"[1351040. 1380362. 1322442. 1134456. 1170864. 1388534. 1473504. 1707672.
 1219942. 1320270. 1641010. 1454264. 1403014. 1285310. 1526718. 1213996.
 1236802. 1183172. 1056934. 1407566.]",1343893.6,"[2598960. 2569638. 2627558. 2815544. 2779136. 2561466. 2476496. 2242328.
 2730058. 2629730. 2308990. 2495736. 2546986. 2664690. 2423282. 2736004.
 2713198. 2766828. 2893066. 2542434.]",2606106.4,161876.21415340796,0.0,"[2277176. 2205962. 1927476. 1878190. 2124612. 2279810. 1991496. 2162676.
 1944798. 2033388. 1859520. 2052004. 2159472. 2279140. 2317928. 2347196.
 2195464. 2145454. 2267402. 1872706.]",2116093.5,"[1672824. 1744038. 2022524. 2071810. 1825388. 1670190. 1958504. 1787324.
 2005202. 1916612. 2090480. 1897996. 1790528. 1670860. 1632072. 1602804.
 1754536. 1804546. 1682598. 2077294.]",1833906.5,156331.9051068911,0.0,"[3143528. 2646332. 2769258. 2703428. 2511198. 2741538. 2360344. 2643020.
 3028042. 2802408. 2569996. 2840164. 2612150. 2477894. 2714388. 2635418.
 2653418. 2648296. 2480736. 2878898.]",2693022.7,"[ 806472. 1303668. 1180742. 1246572. 1438802. 1208462. 1589656. 1306980.
  921958. 1147592. 1380004. 1109836. 1337850. 1472106. 1235612. 1314582.
 1296582. 1301704. 1469264. 1071102.]",1256977.3,181715.91790734787,0.0
6000,35000,80,1,2,2,1.0,362.0,3950000,"[3682872. 3994516. 4187732. 3541784. 4153704. 3649876. 3543956. 4364296.
 4543340. 5042516. 4102192. 4115224. 3411664. 3407320. 4911256. 5111404.
 4498452. 3824468. 4652880. 3518616.]",4112903.4,"[  267128.   -44516.  -237732.   408216.  -203704.   300124.   406044.
  -414296.  -593340. -1092516.  -152192.  -165224.   538336.   542680.
  -961256. -1161404.  -548452.   125532.  -702880.   431384.]",-162903.4,533094.8782890715,0.6,"[5795924. 6578200. 5362324. 6010860. 5892740. 6296440. 6532896. 5391284.
 6403808. 4579324. 6248964. 6049232. 6057196. 8162300. 7363264. 5762928.
 5921284. 6432352. 6513348. 4863148.]",6110890.8,"[-1845924. -2628200. -1412324. -2060860. -1942740. -2346440. -2582896.
 -1441284. -2453808.  -629324. -2298964. -2099232. -2107196. -4212300.
 -3413264. -1812928. -1971284. -2482352. -2563348.  -913148.]",-2160890.8,770683.0048844726,1.0,"[ 7893048.  9001972.  8505276.  8838024.  9388712. 10081520.  8061232.
  7578708.  7968452.  8719072.  6690728.  9024724.  8203768.  7559468.
  7827164.  7299336.  8783308.  9142120.  7880324.  8174700.]",8331082.8,"[-3943048. -5051972. -4555276. -4888024. -5438712. -6131520. -4111232.
 -3628708. -4018452. -4769072. -2740728. -5074724. -4253768. -3609468.
 -3877164. -3349336. -4833308. -5192120. -3930324. -4224700.]",-4381082.8,781815.1152185278,1.0
6000,35000,80,1,2,2,0.5,362.0,3950000,"[1974860. 2107460. 1598564. 1714620. 2026680. 2263752. 2109324. 2562780.
 2039712. 1735508. 2086772. 1845772. 1946208. 1606528. 2002788. 2145940.
 2660736. 2376188. 1839256. 1904216.]",2027383.2,"[1975140. 1842540. 2351436. 2235380. 1923320. 1686248. 1840676. 1387220.
 1910288. 2214492. 1863228. 2104228. 2003792. 2343472. 1947212. 1804060.
 1289264. 1573812. 2110744. 2045784.]",1922616.8,276920.2898788025,0.0,"[3180692. 3752376. 3119044. 3475792. 3132184. 2832324. 2748232. 3042500.
 2941448. 3225580. 2813192. 3752376. 3212656. 2629280. 3491720. 3782892.
 3063604. 2535160. 3544264. 3097324.]",3168632.0,"[ 769308.  197624.  830956.  474208.  817816. 1117676. 1201768.  907500.
 1008552.  724420. 1136808.  197624.  737344. 1320720.  458280.  167108.
  886396. 1414840.  405736.  852676.]",781368.0,360539.7192299345,0.0,"[4359736. 4719272. 3640448. 3770568. 3514780. 4162792. 4287428. 3591108.
 3330452. 3408028. 4325292. 4477440. 3091316. 4128040. 4147896. 4008780.
 4354668. 4134464. 4002680. 3715852.]",3958552.0,"[-409736. -769272.  309552.  179432.  435220. -212792. -337428.  358892.
  619548.  541972. -375292. -527440.  858684. -178040. -197896.  -58780.
 -404668. -184464.  -52680.  234148.]",-8552.0,419953.86424510967,0.6
6000,35000,80,1,2,2,0.35,362.0,3950000,"[1536300. 1417348. 1413420. 1230032. 1135496. 1553984. 1149144. 1413420.
 1478688. 1446000. 1266648. 1132184. 1587088. 1258684. 1652556. 1552952.
 1453964. 1046336. 1744196. 1422832.]",1394563.6,"[2413700. 2532652. 2536580. 2719968. 2814504. 2396016. 2800856. 2536580.
 2471312. 2504000. 2683352. 2817816. 2362912. 2691316. 2297444. 2397048.
 2496036. 2903664. 2205804. 2527168.]",2555436.4,185888.20699721648,0.0,"[2137144. 2162592. 2242232. 2350940. 2121940. 2053360. 2135696. 2422308.
 2082736. 2174376. 2165688. 2021196. 2481368. 1955204. 1956236. 2061016.
 2245128. 2080672. 2376280. 2006716.]",2161641.4,"[1812856. 1787408. 1707768. 1599060. 1828060. 1896640. 1814304. 1527692.
 1867264. 1775624. 1784312. 1928804. 1468632. 1994796. 1993764. 1888984.
 1704872. 1869328. 1573720. 1943284.]",1788358.6,146924.58338766865,0.0,"[2755780. 3073940. 2978988. 3049632. 3143244. 3321040. 2862316. 3350524.
 2969268. 2956236. 3031948. 3462744. 2935856. 2438344. 3437096. 3402236.
 2829628. 3128348. 2939784. 3168168.]",3061756.0,"[1194220.  876060.  971012.  900368.  806756.  628960. 1087684.  599476.
  980732.  993764.  918052.  487256. 1014144. 1511656.  512904.  547764.
 1120372.  821652. 1010216.  781832.]",888244.0,247485.9703627662,0.0
6000,35000,80,1,3,1,1.0,362.0,3950000,"[3184958. 3234860. 4081402. 3801306. 4052442. 4074370. 4294782. 3925634.
 2836806. 3449326. 3938874. 3822356. 3603962. 4282112. 3161220. 3779794.
 3362808. 3999174. 3531762. 3244480.]",3683121.4,"[ 765042.  715140. -131402.  148694. -102442. -124370. -344782.   24366.
 1113194.  500674.   11126.  127644.  346038. -332112.  788780.  170206.
  587192.  -49174.  418238.  705520.]",266878.6,404005.4767649072,0.3,"[5372920. 5978516. 5196672. 5150798. 5970498. 5807128. 4660842. 5099186.
 5124318. 6078844. 6047504. 4929870. 5658546. 5680682. 6157814. 5586454.
 6008200. 4993320. 5141594. 5766376.]",5520504.1,"[-1422920. -2028516. -1246672. -1200798. -2020498. -1857128.  -710842.
 -1149186. -1174318. -2128844. -2097504.  -979870. -1708546. -1730682.
 -2207814. -1636454. -2058200. -1043320. -1191594. -1816376.]",-1570504.1,444105.1611722048,1.0,"[7472654. 7643264. 7571380. 7519198. 7079198. 6731046. 6627668. 6114382.
 8218398. 6949032. 7118556. 6442886. 6733526. 8092006. 6878488. 6263688.
 7111316. 7071958. 8479154. 8269810.]",7219380.4,"[-3522654. -3693264. -3621380. -3569198. -3129198. -2781046. -2677668.
 -2164382. -4268398. -2999032. -3168556. -2492886. -2783526. -4142006.
 -2928488. -2313688. -3161316. -3121958. -4529154. -4319810.]",-3269380.4,660380.4950025704,1.0
6000,35000,80,1,3,1,0.5,362.0,3950000,"[1964046. 2055170. 2369086. 1843600. 1848514. 2137452. 1988508. 1773110.
 1702104. 2424888. 2003404. 2281428. 1904832. 1870904. 2185652. 2125298.
 2188286. 1757182. 2112420. 2063704.]",2029979.4,"[1985954. 1894830. 1580914. 2106400. 2101486. 1812548. 1961492. 2176890.
 2247896. 1525112. 1946596. 1668572. 2045168. 2079096. 1764348. 1824702.
 1761714. 2192818. 1837580. 1886296.]",1920020.6,196974.81369870616,0.0,"[2862416. 2883412. 3278994. 3150114. 3625128. 2880778. 3111172. 3140756.
 3631128. 3145670. 2981106. 3315502. 2785002. 3018962. 2855954. 3281266.
 3587688. 2764260. 3398146. 3426536.]",3156199.5,"[1087584. 1066588.  671006.  799886.  324872. 1069222.  838828.  809244.
  318872.  804330.  968894.  634498. 1164998.  931038. 1094046.  668734.
  362312. 1185740.  551854.  523464.]",793800.5,272890.70257293485,0.0,"[4770498. 4132730. 4229392. 3999460. 3950174. 4333548. 4223962. 4585354.
 3987098. 4405378. 3994600. 4632622. 3896544. 4180622. 4067208. 3925712.
 3865304. 4181808. 4310788. 4177518.]",4192516.0,"[-8.20498e+05 -1.82730e+05 -2.79392e+05 -4.94600e+04 -1.74000e+02
 -3.83548e+05 -2.73962e+05 -6.35354e+05 -3.70980e+04 -4.55378e+05
 -4.46000e+04 -6.82622e+05  5.34560e+04 -2.30622e+05 -1.17208e+05
  2.42880e+04  8.46960e+04 -2.31808e+05 -3.60788e+05 -2.27518e+05]",-242516.0,247648.13479370283,0.85
6000,35000,80,1,3,1,0.35,362.0,3950000,"[1537702. 1695950. 1756304. 1513602. 1623912. 1519340. 1711570. 1632962.
 1471918. 1592418. 1884352. 1837084. 1770060. 1670040. 1559214. 1528028.
 1731842. 1647804. 1709190. 1646564.]",1651992.8,"[2412298. 2254050. 2193696. 2436398. 2326088. 2430660. 2238430. 2317038.
 2478082. 2357582. 2065648. 2112916. 2179940. 2279960. 2390786. 2421972.
 2218158. 2302196. 2240810. 2303436.]",2298007.2,109426.95932429083,0.0,"[2089268. 2643244. 2120970. 2223778. 2704268. 2419266. 2295924. 2339672.
 2152002. 2390822. 2327880. 2487376. 2497612. 2298042. 2481376. 2467050.
 2396098. 2501286. 2242656. 2120454.]",2359952.2,"[1860732. 1306756. 1829030. 1726222. 1245732. 1530734. 1654076. 1610328.
 1797998. 1559178. 1622120. 1462624. 1452388. 1651958. 1468624. 1482950.
 1553902. 1448714. 1707344. 1829546.]",1590047.8,167125.77289083813,0.0,"[3136790. 3292088. 3608800. 2968398. 3373538. 3133840. 3221136. 3135442.
 3042662. 3297364. 3512762. 2963592. 3639000. 3079748. 3164094. 3351356.
 3063504. 2954334. 3090916. 3704314.]",3236683.9,"[813210. 657912. 341200. 981602. 576462. 816160. 728864. 814558. 907338.
 652636. 437238. 986408. 311000. 870252. 785906. 598644. 886496. 995666.
 859084. 245686.]",713316.1,224718.0020509928,0.0
6000,35000,80,1,3,2,1.0,362.0,3950000,"[3927092. 4125122. 3215822. 4986314. 4000378. 3668246. 3769044. 4646018.
 4776084. 3987600. 4144254. 3690328. 4096362. 4319732. 3584878. 4206626.
 4114932. 4031148. 3770184. 4280220.]",4067019.2,"[   22908.  -175122.   734178. -1036314.   -50378.   281754.   180956.
  -696018.  -826084.   -37600.  -194254.   259672.  -146362.  -369732.
   365122.  -256626.  -164932.   -81148.   179816.  -330220.]",-117019.2,405638.3814115227,0.65,"[6713366. 4869172. 7694072. 5896484. 6903886. 6409416. 7093790. 5459626.
 5940756. 6908230. 6655538. 6058098. 6399118. 5723486. 6573056. 5511192.
 5607846. 5727522. 6439878. 6419606.]",6250206.9,"[-2763366.  -919172. -3744072. -1946484. -2953886. -2459416. -3143790.
 -1509626. -1990756. -2958230. -2705538. -2108098. -2449118. -1773486.
 -2623056. -1561192. -1657846. -1777522. -2489878. -2469606.]",-2300206.9,653887.2288391859,1.0,"[8761874. 9484312. 7859306. 8512748. 8304074. 8844518. 8225828. 7042894.
 7969100. 8990258. 8911288. 8330916. 7938384. 9710578. 9805638. 9613816.
 8267874. 8255820. 7357234. 7858220.]",8502234.0,"[-4811874. -5534312. -3909306. -4562748. -4354074. -4894518. -4275828.
 -3092894. -4019100. -5040258. -4961288. -4380916. -3988384. -5760578.
 -5855638. -5663816. -4317874. -4305820. -3407234. -3908220.]",-4552234.0,744340.4031186269,1.0
