piso,tope,max_correccion,divide_en_max,correctores_inicial,agregan,porcen_corregir,pend,limite,FIJO20_costo_bootstrap,FIJO20_media_costo,FIJO20_diferencia_limite_boot,FIJO20_media_boot,FIJO20_std_boot,FIJO20_porcentaje_inferior_0,MITAD_MAS_costo_bootstrap,MITAD_MAS_media_costo,MITAD_MAS_diferencia_limite_boot,MITAD_MAS_media_boot,MITAD_MAS_std_boot,MITAD_MAS_porcentaje_inferior_0,DOBLE_costo_bootstrap,DOBLE_media_costo,DOBLE_diferencia_limite_boot,DOBLE_media_boot,DOBLE_std_boot,DOBLE_porcentaje_inferior_0
6000,35000,80,2,3,1,1.0,362.0,3950000,[3742662. 3983962.],3863312.0,[207338. -33962.],86688.0,120650.0,0.5,[6149796. 5721996.],5935896.0,[-2199796. -1771996.],-1985896.0,213900.0,1.0,[8206498. 7951542.],8079020.0,[-4256498. -4001542.],-4129020.0,127478.0,1.0
6000,35000,80,2,3,1,0.5,362.0,3950000,[2283322. 2183564.],2233443.0,[1666678. 1766436.],1716557.0,49879.0,0.0,[3163076. 3454140.],3308608.0,[786924. 495860.],641392.0,145532.0,0.0,[4516766. 4185050.],4350908.0,[-566766. -235050.],-400908.0,165858.0,1.0
6000,35000,80,2,3,1,0.35,362.0,3950000,[2144768. 2114422.],2129595.0,[1805232. 1835578.],1820405.0,15173.0,0.0,[3019046. 3032856.],3025951.0,[930954. 917144.],924049.0,6905.0,0.0,[4185396. 3979934.],4082665.0,[-235396.  -29934.],-132665.0,102731.0,1.0
6000,35000,80,2,3,2,1.0,362.0,3950000,[3979166. 3736610.],3857888.0,[-29166. 213390.],92112.0,121278.0,0.5,[5921608. 7005030.],6463319.0,[-1971608. -3055030.],-2513319.0,541711.0,1.0,[7659304. 7908322.],7783813.0,[-3709304. -3958322.],-3833813.0,124509.0,1.0
6000,35000,80,2,3,2,0.5,362.0,3950000,[2288260. 2740538.],2514399.0,[1661740. 1209462.],1435601.0,226139.0,0.0,[3308462. 3461658.],3385060.0,[641538. 488342.],564940.0,76598.0,0.0,[4757536. 4689172.],4723354.0,[-807536. -739172.],-773354.0,34182.0,1.0
6000,35000,80,2,3,2,0.35,362.0,3950000,[2214504. 1913558.],2064031.0,[1735496. 2036442.],1885969.0,150473.0,0.0,[3009434. 2948148.],2978791.0,[ 940566. 1001852.],971209.0,30643.0,0.0,[4285548. 4021218.],4153383.0,[-335548.  -71218.],-203383.0,132165.0,1.0
6000,35000,100,1,2,1,1.0,290.0,3950000,[3222000. 3349330.],3285665.0,[728000. 600670.],664335.0,63665.0,0.0,[4444990. 4854080.],4649535.0,[-494990. -904080.],-699535.0,204545.0,1.0,[5722520. 6397290.],6059905.0,[-1772520. -2447290.],-2109905.0,337385.0,1.0
6000,35000,100,1,2,1,0.5,290.0,3950000,[1624490. 1265010.],1444750.0,[2325510. 2684990.],2505250.0,179740.0,0.0,[2231290. 2436000.],2333645.0,[1718710. 1514000.],1616355.0,102355.0,0.0,[3068740. 3022810.],3045775.0,[881260. 927190.],904225.0,22965.0,0.0
6000,35000,100,1,2,1,0.35,290.0,3950000,[1262780. 1121440.],1192110.0,[2687220. 2828560.],2757890.0,70670.0,0.0,[1767920. 1870760.],1819340.0,[2182080. 2079240.],2130660.0,51420.0,0.0,[2560560. 2255330.],2407945.0,[1389440. 1694670.],1542055.0,152615.0,0.0
6000,35000,100,1,2,2,1.0,290.0,3950000,[3878680. 3090580.],3484630.0,[ 71320. 859420.],465370.0,394050.0,0.0,[3857000. 5471660.],4664330.0,[   93000. -1521660.],-714330.0,807330.0,0.5,[6461960. 7958300.],7210130.0,[-2511960. -4008300.],-3260130.0,748170.0,1.0
6000,35000,100,1,2,2,0.5,290.0,3950000,[1665480. 1833140.],1749310.0,[2284520. 2116860.],2200690.0,83830.0,0.0,[2379260. 2627800.],2503530.0,[1570740. 1322200.],1446470.0,124270.0,0.0,[3444280. 2913200.],3178740.0,[ 505720. 1036800.],771260.0,265540.0,0.0
6000,35000,100,1,2,2,0.35,290.0,3950000,[1319280. 1129580.],1224430.0,[2630720. 2820420.],2725570.0,94850.0,0.0,[1739720. 1873700.],1806710.0,[2210280. 2076300.],2143290.0,66990.0,0.0,[2778200. 2388100.],2583150.0,[1171800. 1561900.],1366850.0,195050.0,0.0
6000,35000,100,1,3,1,1.0,290.0,3950000,[3255270. 2871810.],3063540.0,[ 694730. 1078190.],886460.0,191730.0,0.0,[4552960. 4618230.],4585595.0,[-602960. -668230.],-635595.0,32635.0,1.0,[5980790. 6637110.],6308950.0,[-2030790. -2687110.],-2358950.0,328160.0,1.0
6000,35000,100,1,3,1,0.5,290.0,3950000,[1742730. 1533690.],1638210.0,[2207270. 2416310.],2311790.0,104520.0,0.0,[2477630. 2383560.],2430595.0,[1472370. 1566440.],1519405.0,47035.0,0.0,[3260760. 3604400.],3432580.0,[689240. 345600.],517420.0,171820.0,0.0
6000,35000,100,1,3,1,0.35,290.0,3950000,[1328460. 1447740.],1388100.0,[2621540. 2502260.],2561900.0,59640.0,0.0,[2190810. 2250970.],2220890.0,[1759190. 1699030.],1729110.0,30080.0,0.0,[3015430. 3156120.],3085775.0,[934570. 793880.],864225.0,70345.0,0.0
6000,35000,100,1,3,2,1.0,290.0,3950000,[3210690. 3314620.],3262655.0,[739310. 635380.],687345.0,51965.0,0.0,[5492480. 5789920.],5641200.0,[-1542480. -1839920.],-1691200.0,148720.0,1.0,[7039460. 6067460.],6553460.0,[-3089460. -2117460.],-2603460.0,486000.0,1.0
6000,35000,100,1,3,2,0.5,290.0,3950000,[1749590. 1921200.],1835395.0,[2200410. 2028800.],2114605.0,85805.0,0.0,[2480520. 3085660.],2783090.0,[1469480.  864340.],1166910.0,302570.0,0.0,[3527200. 3361460.],3444330.0,[422800. 588540.],505670.0,82870.0,0.0
6000,35000,100,1,3,2,0.35,290.0,3950000,[1409010. 1387150.],1398080.0,[2540990. 2562850.],2551920.0,10930.0,0.0,[2342940. 2151720.],2247330.0,[1607060. 1798280.],1702670.0,95610.0,0.0,[3281920. 3131260.],3206590.0,[668080. 818740.],743410.0,75330.0,0.0
6000,35000,100,2,2,1,1.0,290.0,3950000,[3117470. 3259300.],3188385.0,[832530. 690700.],761615.0,70915.0,0.0,[4766660. 3578980.],4172820.0,[-816660.  371020.],-222820.0,593840.0,0.5,[5858730. 5865220.],5861975.0,[-1908730. -1915220.],-1911975.0,3245.0,1.0
6000,35000,100,2,2,1,0.5,290.0,3950000,[1744060. 1566160.],1655110.0,[2205940. 2383840.],2294890.0,88950.0,0.0,[2395050. 2593630.],2494340.0,[1554950. 1356370.],1455660.0,99290.0,0.0,[3242610. 3263890.],3253250.0,[707390. 686110.],696750.0,10640.0,0.0
6000,35000,100,2,2,1,0.35,290.0,3950000,[1410570. 1320870.],1365720.0,[2539430. 2629130.],2584280.0,44850.0,0.0,[1931660. 2155560.],2043610.0,[2018340. 1794440.],1906390.0,111950.0,0.0,[2974570. 2606160.],2790365.0,[ 975430. 1343840.],1159635.0,184205.0,0.0
6000,35000,100,2,2,2,1.0,290.0,3950000,[2627180. 3172360.],2899770.0,[1322820.  777640.],1050230.0,272590.0,0.0,[5222320. 5198540.],5210430.0,[-1272320. -1248540.],-1260430.0,11890.0,1.0,[6563680. 5682920.],6123300.0,[-2613680. -1732920.],-2173300.0,440380.0,1.0
6000,35000,100,2,2,2,0.5,290.0,3950000,[1780100. 1925720.],1852910.0,[2169900. 2024280.],2097090.0,72810.0,0.0,[2284780. 2614920.],2449850.0,[1665220. 1335080.],1500150.0,165070.0,0.0,[3437380. 3576260.],3506820.0,[512620. 373740.],443180.0,69440.0,0.0
6000,35000,100,2,2,2,0.35,290.0,3950000,[1434700. 1428900.],1431800.0,[2515300. 2521100.],2518200.0,2900.0,0.0,[2091600. 2187340.],2139470.0,[1858400. 1762660.],1810530.0,47870.0,0.0,[2825860. 2847320.],2836590.0,[1124140. 1102680.],1113410.0,10730.0,0.0
6000,35000,100,2,3,1,1.0,290.0,3950000,[2485630. 2576600.],2531115.0,[1464370. 1373400.],1418885.0,45485.0,0.0,[5472150. 5600910.],5536530.0,[-1522150. -1650910.],-1586530.0,64380.0,1.0,[6145960. 6356560.],6251260.0,[-2195960. -2406560.],-2301260.0,105300.0,1.0
6000,35000,100,2,3,1,0.5,290.0,3950000,[2279070. 2027020.],2153045.0,[1670930. 1922980.],1796955.0,126025.0,0.0,[3297720. 3091450.],3194585.0,[652280. 858550.],755415.0,103135.0,0.0,[4469980. 4422980.],4446480.0,[-519980. -472980.],-496480.0,23500.0,1.0
6000,35000,100,2,3,1,0.35,290.0,3950000,[1829690. 1918520.],1874105.0,[2120310. 2031480.],2075895.0,44415.0,0.0,[2720750. 2816160.],2768455.0,[1229250. 1133840.],1181545.0,47705.0,0.0,[3874430. 3851210.],3862820.0,[75570. 98790.],87180.0,11610.0,0.0
6000,35000,100,2,3,2,1.0,290.0,3950000,[3585160. 4274620.],3929890.0,[ 364840. -324620.],20110.0,344730.0,0.5,[5194670. 5197570.],5196120.0,[-1244670. -1247570.],-1246120.0,1450.0,1.0,[6287170. 8127570.],7207370.0,[-2337170. -4177570.],-3257370.0,920200.0,1.0
6000,35000,100,2,3,2,0.5,290.0,3950000,[2098530. 2138040.],2118285.0,[1851470. 1811960.],1831715.0,19755.0,0.0,[3635640. 3173580.],3404610.0,[314360. 776420.],545390.0,231030.0,0.0,[4371600. 4797380.],4584490.0,[-421600. -847380.],-634490.0,212890.0,1.0
6000,35000,100,2,3,2,0.35,290.0,3950000,[1809720. 1787640.],1798680.0,[2140280. 2162360.],2151320.0,11040.0,0.0,[2743790. 2618620.],2681205.0,[1206210. 1331380.],1268795.0,62585.0,0.0,[3897220. 3898560.],3897890.0,[52780. 51440.],52110.0,670.0,0.0
6000,35000,120,1,2,1,1.0,242.0,3950000,[2063522. 2627066.],2345294.0,[1886478. 1322934.],1604706.0,281772.0,0.0,[3539752. 3528106.],3533929.0,[410248. 421894.],416071.0,5823.0,0.0,[4574488. 5268088.],4921288.0,[ -624488. -1318088.],-971288.0,346800.0,1.0
6000,35000,120,1,2,1,0.5,242.0,3950000,[1084430. 1677982.],1381206.0,[2865570. 2272018.],2568794.0,296776.0,0.0,[2207204. 2181452.],2194328.0,[1742796. 1768548.],1755672.0,12876.0,0.0,[2536058. 2908430.],2722244.0,[1413942. 1041570.],1227756.0,186186.0,0.0
