piso,tope,max_correccion,divide_en_max,correctores_inicial,agregan,pend,limite,FIJO20_costo_bootstrap,FIJO20_media_costo,FIJO20_diferencia_limite_boot,FIJO20_media_boot,FIJO20_std_boot,FIJO20_porcentaje_inferior_0,MITAD_MAS_costo_bootstrap,MITAD_MAS_media_costo,MITAD_MAS_diferencia_limite_boot,MITAD_MAS_media_boot,MITAD_MAS_std_boot,MITAD_MAS_porcentaje_inferior_0,DOBLE_costo_bootstrap,DOBLE_media_costo,DOBLE_diferencia_limite_boot,DOBLE_media_boot,DOBLE_std_boot,DOBLE_porcentaje_inferior_0
4000,35000,80,2,4,1,388.0,2520000.0,"[3036272. 2992456. 3131572. 4104248. 2770160. 3274328. 3433592. 3702808.
 2729328. 3501280. 3389028. 3191148. 3135452. 3283492. 2573288.]",3216563.466666667,"[ -516272.  -472456.  -611572. -1584248.  -250160.  -754328.  -913592.
 -1182808.  -209328.  -981280.  -869028.  -671148.  -615452.  -763492.
   -53288.]",-696563.4666666667,377518.0496067911,1.0,"[5169340. 4841832. 5247864. 5213036. 6457376. 4541096. 3884648. 4248748.
 4375328. 4986260. 5981080. 4867764. 5366388. 4921612. 4241468.]",4956256.0,"[-2649340. -2321832. -2727864. -2693036. -3937376. -2021096. -1364648.
 -1728748. -1855328. -2466260. -3461080. -2347764. -2846388. -2401612.
 -1721468.]",-2436256.0,651199.0063448602,1.0,"[6757168. 7048260. 8045084. 6836412. 6705740. 6820116. 7280200. 6710368.
 5945012. 7184124. 5996348. 6520544. 7269936. 7025580. 8118592.]",6950898.933333334,"[-4237168. -4528260. -5525084. -4316412. -4185740. -4300116. -4760200.
 -4190368. -3425012. -4664124. -3476348. -4000544. -4749936. -4505580.
 -5598592.]",-4430898.933333334,585052.9769406604,1.0
4000,35000,80,2,4,2,388.0,2520000.0,"[4113592. 3571392. 3401208. 2712032. 3490392. 3339720. 3778416. 3052896.
 3647624. 4051512. 4093840. 3750296. 4322112. 2639808. 3800680.]",3584368.0,"[-1593592. -1051392.  -881208.  -192032.  -970392.  -819720. -1258416.
  -532896. -1127624. -1531512. -1573840. -1230296. -1802112.  -119808.
 -1280680.]",-1064368.0,480009.35334886966,1.0,"[4887720. 5537784. 6088944. 5144464. 5670424. 5095152. 5128464. 5128520.
 6027216. 5518864. 4768624. 5796024. 6375472. 5090736. 5188328.]",5429782.4,"[-2367720. -3017784. -3568944. -2624464. -3150424. -2575152. -2608464.
 -2608520. -3507216. -2998864. -2248624. -3276024. -3855472. -2570736.
 -2668328.]",-2909782.4,460184.13539115695,1.0,"[7323072. 7571504. 6248928. 7373328. 6696456. 6614440. 8018864. 6149656.
 6205880. 6888552. 6462032. 7401320. 6436424. 6560360. 7046080.]",6866459.733333333,"[-4803072. -5051504. -3728928. -4853328. -4176456. -4094440. -5498864.
 -3629656. -3685880. -4368552. -3942032. -4881320. -3916424. -4040360.
 -4526080.]",-4346459.733333333,546228.5010456664,1.0
4000,35000,100,1,2,1,310.0,2520000.0,"[3068910. 2928910. 2765630. 2520690. 2144870. 3184330. 2044920. 2254210.
 1974270. 2281180. 2437890. 2551940. 2483460. 2449700. 3806700.]",2593174.0,"[-5.4891e+05 -4.0891e+05 -2.4563e+05 -6.9000e+02  3.7513e+05 -6.6433e+05
  4.7508e+05  2.6579e+05  5.4573e+05  2.3882e+05  8.2110e+04 -3.1940e+04
  3.6540e+04  7.0300e+04 -1.2867e+06]",-73174.0,472681.8820277898,0.4666666666666667,"[4029820. 3773380. 4356850. 3908760. 3804880. 4494180. 3401930. 4341350.
 3893290. 3291380. 4102670. 3723160. 3517190. 4249150. 4293080.]",3945404.6666666665,"[-1509820. -1253380. -1836850. -1388760. -1284880. -1974180.  -881930.
 -1821350. -1373290.  -771380. -1582670. -1203160.  -997190. -1729150.
 -1773080.]",-1425404.6666666667,354164.1749973528,1.0,"[4984220. 5633380. 5182970. 5369810. 5217870. 5508350. 5997140. 5418730.
 5011410. 5089310. 5579250. 4987290. 5144400. 4315470. 5226150.]",5244383.333333333,"[-2464220. -3113380. -2662970. -2849810. -2697870. -2988350. -3477140.
 -2898730. -2491410. -2569310. -3059250. -2467290. -2624400. -1795470.
 -2706150.]",-2724383.3333333335,368392.32816236676,1.0
4000,35000,100,1,2,2,310.0,2520000.0,"[2325040. 2662400. 3399620. 2571440. 2275440. 2430880. 2383820. 2576460.
 1869500. 2992440. 2350400. 2484580. 2686520. 2843020. 1853140.]",2513646.6666666665,"[ 194960. -142400. -879620.  -51440.  244560.   89120.  136180.  -56460.
  650500. -472440.  169600.   35420. -166520. -323020.  666860.]",6353.333333333333,380936.1651977343,0.4666666666666667,"[4317940. 4667820. 4921540. 2881700. 3844420. 3677200. 4197720. 3705600.
 3596100. 3850560. 4747060. 4156860. 4156800. 3655620. 4743720.]",4074710.6666666665,"[-1797940. -2147820. -2401540.  -361700. -1324420. -1157200. -1677720.
 -1185600. -1076100. -1330560. -2227060. -1636860. -1636800. -1135620.
 -2223720.]",-1554710.6666666667,534279.5165013244,1.0,"[5812340. 5084600. 5891760. 6386540. 4955940. 4810300. 6242820. 4547840.
 5336960. 5154980. 5178480. 4780540. 5734640. 5314140. 4930520.]",5344160.0,"[-3292340. -2564600. -3371760. -3866540. -2435940. -2290300. -3722820.
 -2027840. -2816960. -2634980. -2658480. -2260540. -3214640. -2794140.
 -2410520.]",-2824160.0,532657.1440116679,1.0
4000,35000,100,1,3,1,310.0,2520000.0,"[2518510. 2644590. 2693970. 2345090. 2612100. 2382540. 2166680. 3196560.
 2676830. 2493150. 2760440. 2549940. 2694440. 2566900. 2469990.]",2584782.0,"[   1490. -124590. -173970.  174910.  -92100.  137460.  353320. -676560.
 -156830.   26850. -240440.  -29940. -174440.  -46900.   50010.]",-64782.0,222491.0116896111,0.6,"[3914710. 4856020. 4489590. 4209280. 3286260. 3308240. 4578440. 3161360.
 4529830. 3701920. 4195670. 4204720. 4159680. 3955630. 3634090.]",4012362.6666666665,"[-1394710. -2336020. -1969590. -1689280.  -766260.  -788240. -2058440.
  -641360. -2009830. -1181920. -1675670. -1684720. -1639680. -1435630.
 -1114090.]",-1492362.6666666667,493844.79454536684,1.0,"[5290390. 5215740. 5788850. 5313980. 5665840. 5413090. 5984310. 5914000.
 5361440. 5853800. 6295530. 4933130. 4922750. 5147040. 5539510.]",5509293.333333333,"[-2770390. -2695740. -3268850. -2793980. -3145840. -2893090. -3464310.
 -3394000. -2841440. -3333800. -3775530. -2413130. -2402750. -2627040.
 -3019510.]",-2989293.3333333335,386474.0661703217,1.0
4000,35000,100,1,3,2,310.0,2520000.0,"[3178220. 2335160. 3370060. 3038840. 2592100. 3588680. 3225220. 2702530.
 3357780. 3419350. 3132650. 2057330. 2424260. 2524580. 2513050.]",2897320.6666666665,"[ -658220.   184840.  -850060.  -518840.   -72100. -1068680.  -705220.
  -182530.  -837780.  -899350.  -612650.   462670.    95740.    -4580.
     6950.]",-377320.6666666667,455406.45517993654,0.7333333333333333,"[4320850. 4865110. 3703100. 3581140. 4769440. 3914290. 4270750. 4312480.
 4528430. 4137690. 4389670. 4601280. 4141400. 3328490. 4218910.]",4205535.333333333,"[-1800850. -2345110. -1183100. -1061140. -2249440. -1394290. -1750750.
 -1792480. -2008430. -1617690. -1869670. -2081280. -1621400.  -808490.
 -1698910.]",-1685535.3333333333,414892.2392279175,1.0,"[5553740. 5434400. 6850360. 5623750. 6038980. 6137820. 5337230. 5375860.
 6474800. 6301690. 6902690. 5128960. 6692930. 5771990. 5487770.]",5940864.666666667,"[-3033740. -2914400. -4330360. -3103750. -3518980. -3617820. -2817230.
 -2855860. -3954800. -3781690. -4382690. -2608960. -4172930. -3251990.
 -2967770.]",-3420864.6666666665,569510.5068959561,1.0
4000,35000,100,1,4,1,310.0,2520000.0,"[3307410. 2320870. 3262520. 2409970. 2942220. 2767870. 2852100. 2971670.
 3429460. 2456280. 2522840. 2772770. 2201920. 3007260. 1984170.]",2747288.6666666665,"[-787410.  199130. -742520.  110030. -422220. -247870. -332100. -451670.
 -909460.   63720.   -2840. -252770.  318080. -487260.  535830.]",-227288.66666666666,410122.14944439277,0.6666666666666666,"[3284960. 4392190. 3634930. 3396160. 4707930. 4050650. 4647200. 4110080.
 4001450. 3858570. 4615210. 4757160. 3451590. 4384960. 4469380.]",4117494.6666666665,"[ -764960. -1872190. -1114930.  -876160. -2187930. -1530650. -2127200.
 -1590080. -1481450. -1338570. -2095210. -2237160.  -931590. -1864960.
 -1949380.]",-1597494.6666666667,485227.04807635036,1.0,"[4844950. 5685100. 5278250. 5570150. 6057640. 5519930. 5232490. 5343070.
 6178730. 5008480. 5890050. 5111370. 6149250. 5192870. 5854710.]",5527802.666666667,"[-2324950. -3165100. -2758250. -3050150. -3537640. -2999930. -2712490.
 -2823070. -3658730. -2488480. -3370050. -2591370. -3629250. -2672870.
 -3334710.]",-3007802.6666666665,413159.54618793726,1.0
4000,35000,100,1,4,2,310.0,2520000.0,"[3122440. 2326940. 2965380. 3099620. 2961540. 3165340. 3031540. 2884160.
 3044380. 2359240. 3003760. 3374480. 2490380. 2878580. 2895880.]",2906910.6666666665,"[-602440.  193060. -445380. -579620. -441540. -645340. -511540. -364160.
 -524380.  160760. -483760. -854480.   29620. -358580. -375880.]",-386910.6666666667,286409.7898575086,0.8,"[3819680. 4329460. 4461900. 4269260. 4894620. 4433880. 4244640. 4571220.
 4185680. 4323260. 4146500. 4226780. 4855380. 4955380. 4067500.]",4385676.0,"[-1299680. -1809460. -1941900. -1749260. -2374620. -1913880. -1724640.
 -2051220. -1665680. -1803260. -1626500. -1706780. -2335380. -2435380.
 -1547500.]",-1865676.0,308902.09462546546,1.0,"[4419380. 5293440. 5206760. 6155220. 5150340. 6033760. 5781640. 6149200.
 5451300. 5628560. 4826800. 5912040. 5768440. 5182700. 5320780.]",5485357.333333333,"[-1899380. -2773440. -2686760. -3635220. -2630340. -3513760. -3261640.
 -3629200. -2931300. -3108560. -2306800. -3392040. -3248440. -2662700.
 -2800780.]",-2965357.3333333335,481467.94484460633,1.0
4000,35000,100,2,2,1,310.0,2520000.0,"[3500940. 2810020. 2806860. 2292310. 2357320. 2480670. 2196360. 2627890.
 3007560. 3088440. 2441730. 2658210. 1886230. 2612300. 2248290.]",2601008.6666666665,"[-980940. -290020. -286860.  227690.  162680.   39330.  323640. -107890.
 -487560. -568440.   78270. -138210.  633770.  -92300.  271710.]",-81008.66666666667,391281.8219453708,0.5333333333333333,"[3923210. 4624420. 3636110. 3527140. 3368320. 4070490. 3665190. 4732890.
 4290350. 3908450. 3656850. 3233810. 3623800. 3935890. 3991470.]",3879226.0,"[-1403210. -2104420. -1116110. -1007140.  -848320. -1550490. -1145190.
 -2212890. -1770350. -1388450. -1136850.  -713810. -1103800. -1415890.
 -1471470.]",-1359226.0,410643.47662012925,1.0,"[5983500. 5421050. 5710630. 4833150. 5686420. 5589480. 5034840. 4653470.
 4706540. 5960340. 5383290. 4980930. 5790240. 4597170. 5859620.]",5346044.666666667,"[-3463500. -2901050. -3190630. -2313150. -3166420. -3069480. -2514840.
 -2133470. -2186540. -3440340. -2863290. -2460930. -3270240. -2077170.
 -3339620.]",-2826044.6666666665,483217.40741087636,1.0
4000,35000,100,2,2,2,310.0,2520000.0,"[2854240. 2723220. 2734140. 2848720. 2781940. 2792600. 3422500. 3043160.
 2744240. 2636360. 2648320. 3642420. 2073060. 2269180. 3092140.]",2820416.0,"[ -334240.  -203220.  -214140.  -328720.  -261940.  -272600.  -902500.
  -523160.  -224240.  -116360.  -128320. -1122420.   446940.   250820.
  -572140.]",-300416.0,375449.3315979313,0.8666666666666667,"[3882740. 4443680. 4604020. 4113200. 4400280. 4553180. 3616740. 4353960.
 4785940. 3975680. 3996320. 3599760. 4597580. 4932640. 4171420.]",4268476.0,"[-1362740. -1923680. -2084020. -1593200. -1880280. -2033180. -1096740.
 -1833960. -2265940. -1455680. -1476320. -1079760. -2077580. -2412640.
 -1651420.]",-1748476.0,389895.4304391542,1.0,"[6167680. 5001700. 5777360. 5215300. 5175680. 5199540. 4670420. 6006280.
 5545160. 5682000. 5832360. 4982980. 5095820. 5366840. 5365040.]",5405610.666666667,"[-3647680. -2481700. -3257360. -2695300. -2655680. -2679540. -2150420.
 -3486280. -3025160. -3162000. -3312360. -2462980. -2575820. -2846840.
 -2845040.]",-2885610.6666666665,405846.24036641704,1.0
