piso,tope,max_correccion,divide_en_max,correctores_inicial,agregan,porcen_corregir,pend,limite,FIJO20_costo_bootstrap,FIJO20_media_costo,FIJO20_diferencia_limite_boot,FIJO20_media_boot,FIJO20_std_boot,FIJO20_porcentaje_inferior_0,MITAD_MAS_costo_bootstrap,MITAD_MAS_media_costo,MITAD_MAS_diferencia_limite_boot,MITAD_MAS_media_boot,MITAD_MAS_std_boot,MITAD_MAS_porcentaje_inferior_0,DOBLE_costo_bootstrap,DOBLE_media_costo,DOBLE_diferencia_limite_boot,DOBLE_media_boot,DOBLE_std_boot,DOBLE_porcentaje_inferior_0
6000,35000,80,1,2,1,1.0,362.0,3950000,"[3213848. 3571928. 3841010. 3530868. 3188662. 4819836. 3048976. 3579376.
 4191488. 3404938. 3620698. 3819028. 3260030. 3134308. 3952714. 3482876.
 4419556. 3634608. 2949580. 2683086.]",3567370.7,"[ 736152.  378072.  108990.  419132.  761338. -869836.  901024.  370624.
 -241488.  545062.  329302.  130972.  689970.  815692.   -2714.  467124.
 -469556.  315392. 1000420. 1266914.]",382629.3,499812.69521902903,0.2,"[5738524. 5994104. 5935098. 5949578. 5091660. 4765744. 6093708. 5245618.
 5568222. 5787810. 5334778. 5289990. 5158738. 5661210. 4471276. 4844714.
 5834508. 6277250. 5175182. 5902310.]",5506001.1,"[-1788524. -2044104. -1985098. -1999578. -1141660.  -815744. -2143708.
 -1295618. -1618222. -1837810. -1384778. -1339990. -1208738. -1711210.
  -521276.  -894714. -1884508. -2327250. -1225182. -1952310.]",-1556001.1,478915.5182624489,1.0,"[7496614. 7913238. 7538814. 6698018. 6511734. 7913392. 7452912. 9274560.
 7567828. 7852006. 7870314. 6941752. 7102434. 6133020. 7944008. 6767314.
 7677052. 7533176. 7845128. 7567204.]",7480025.9,"[-3546614. -3963238. -3588814. -2748018. -2561734. -3963392. -3502912.
 -5324560. -3617828. -3902006. -3920314. -2991752. -3152434. -2183020.
 -3994008. -2817314. -3727052. -3583176. -3895128. -3617204.]",-3530025.9,655757.0976254775,1.0
6000,35000,80,1,2,1,0.5,362.0,3950000,"[1706224. 1982284. 1847928. 1786850. 1701880. 1795330. 1719310. 2537924.
 1888318. 2220850. 2018900. 1735392. 1824036. 1795230. 1468952. 1845756.
 1960926. 1663246. 1587588. 2187908.]",1863741.6,"[2243776. 1967716. 2102072. 2163150. 2248120. 2154670. 2230690. 1412076.
 2061682. 1729150. 1931100. 2214608. 2125964. 2154770. 2481048. 2104244.
 1989074. 2286754. 2362412. 1762092.]",2086258.4,235945.6509246144,0.0,"[2804780. 3041382. 2522566. 3010820. 2945090. 2523444. 2453578. 2834156.
 3045726. 2381332. 2745774. 2766770. 2566784. 2539942. 3080378. 2871342.
 3063726. 3169484. 2901542. 2887270.]",2807794.3,"[1145220.  908618. 1427434.  939180. 1004910. 1426556. 1496422. 1115844.
  904274. 1568668. 1204226. 1183230. 1383216. 1410058.  869622. 1078658.
  886274.  780516. 1048458. 1062730.]",1142205.7,230935.47146618686,0.0,"[3724762. 3511744. 3679720. 3531862. 3851154. 3783460. 3670770. 3684734.
 3704752. 3770636. 3725902. 3775550. 3512260. 3503418. 3495662. 3770274.
 3501246. 3262680. 3831606. 3387624.]",3633990.8,"[225238. 438256. 270280. 418138.  98846. 166540. 279230. 265266. 245248.
 179364. 224098. 174450. 437740. 446582. 454338. 179726. 448754. 687320.
 118394. 562376.]",316009.2,155903.21134909312,0.0
6000,35000,80,1,2,1,0.35,362.0,3950000,"[1344524. 1430942. 1259762. 1440870. 1558574. 1260694. 1294776. 1319908.
 1352488. 1308840. 1208150. 1140610. 1187878. 1427838. 1331854. 1396860.
 1216322. 1350524. 1382742. 1529976.]",1337206.6,"[2605476. 2519058. 2690238. 2509130. 2391426. 2689306. 2655224. 2630092.
 2597512. 2641160. 2741850. 2809390. 2762122. 2522162. 2618146. 2553140.
 2733678. 2599476. 2567258. 2420024.]",2612793.4,106538.5294982055,0.0,"[2085516. 2292588. 2022474. 2240922. 1919974. 1796324. 2106874. 2124666.
 2301276. 1986066. 2053298. 1840750. 2336336. 2275882. 2090430. 1822388.
 2006962. 1774034. 2029352. 1814424.]",2046026.8,"[1864484. 1657412. 1927526. 1709078. 2030026. 2153676. 1843126. 1825334.
 1648724. 1963934. 1896702. 2109250. 1613664. 1674118. 1859570. 2127612.
 1943038. 2175966. 1920648. 2135576.]",1903973.2,175852.17284116792,0.0,"[3169022. 3011960. 3194462. 2707356. 2493822. 2577444. 2888980. 3092586.
 2634694. 2869432. 3079708. 2846626. 2942094. 2321194. 2792272. 2885568.
 3034096. 2576258. 2922184. 2973742.]",2850675.0,"[ 780978.  938040.  755538. 1242644. 1456178. 1372556. 1061020.  857414.
 1315306. 1080568.  870292. 1103374. 1007906. 1628806. 1157728. 1064432.
  915904. 1373742. 1027816.  976258.]",1099325.0,229138.6094768841,0.0
6000,35000,80,1,2,2,1.0,362.0,3950000,"[4185252. 4136220. 3468660. 4047784. 4602400. 3734276. 4301924. 3974660.
 4485728. 4186284. 3912288. 3781444. 4305236. 4404840. 3601260. 4426668.
 3893048. 4321472. 4226104. 4154120.]",4107483.4,"[-235252. -186220.  481340.  -97784. -652400.  215724. -351924.  -24660.
 -535728. -236284.   37712.  168556. -355236. -454840.  348740. -476668.
   56952. -371472. -276104. -204120.]",-157483.4,295429.97599641106,0.7,"[6157324. 6043548. 6169524. 5678728. 5994824. 5697352. 5817336. 5872052.
 5487792. 5424696. 5674492. 5878876. 5394288. 5567232. 4865736. 5332332.
 6310196. 5187932. 6758276. 6192076.]",5775230.6,"[-2207324. -2093548. -2219524. -1728728. -2044824. -1747352. -1867336.
 -1922052. -1537792. -1474696. -1724492. -1928876. -1444288. -1617232.
  -915736. -1382332. -2360196. -1237932. -2808276. -2242076.]",-1825230.6,427642.1141324133,1.0,"[8480244. 7898424. 7522652. 9869988. 7699108. 8347120. 8708844. 6682656.
 8378668. 7861808. 6847944. 7537748. 7058536. 7624012. 8173252. 7370288.
 8869988. 7697968. 7987276. 9666744.]",8014163.4,"[-4530244. -3948424. -3572652. -5919988. -3749108. -4397120. -4758844.
 -2732656. -4428668. -3911808. -2897944. -3587748. -3108536. -3674012.
 -4223252. -3420288. -4919988. -3747968. -4037276. -5716744.]",-4064163.4,812234.9022850718,1.0
6000,35000,80,1,2,2,0.5,362.0,3950000,"[1958100. 2401220. 2207588. 2224240. 2311336. 2336260. 1561640. 2148944.
 2434108. 1947240. 1848776. 1786404. 1990788. 2833680. 1917556. 2223824.
 1996272. 2438868. 2197760. 1948380.]",2135649.2,"[1991900. 1548780. 1742412. 1725760. 1638664. 1613740. 2388360. 1801056.
 1515892. 2002760. 2101224. 2163596. 1959212. 1116320. 2032444. 1726176.
 1953728. 1511132. 1752240. 2001620.]",1814350.8,279155.81896883325,0.0,"[2787328. 3132492. 3561024. 3262920. 3262920. 2841012. 2944760. 3124420.
 3418072. 2524808. 3277816. 3146972. 2884760. 3561332. 2667652. 3256096.
 2243680. 3222992. 2797156. 3549440.]",3073382.6,"[1162672.  817508.  388976.  687080.  687080. 1108988. 1005240.  825580.
  531928. 1425192.  672184.  803028. 1065240.  388668. 1282348.  693904.
 1706320.  727008. 1152844.  400560.]",876617.4,347883.44921430224,0.0,"[3850824. 3595560. 4179136. 3644792. 3808324. 4542092. 4124004. 3868108.
 4111080. 4693208. 3433168. 4273056. 3986336. 4530400. 4309672. 4136420.
 4502164. 4341944. 3936272. 3129688.]",4049812.4,"[  99176.  354440. -229136.  305208.  141676. -592092. -174004.   81892.
 -161080. -743208.  516832. -323056.  -36336. -580400. -359672. -186420.
 -552164. -391944.   13728.  820312.]",-99812.4,391994.1884036548,0.6
6000,35000,80,1,2,2,0.35,362.0,3950000,"[1366360. 1356116. 1385492. 1658040. 1147080. 1498128. 1289092. 1268096.
 1450760. 1437004. 1372460. 1153596. 1407212. 1490272. 1478272. 1224240.
 1686584. 1408352. 1410832. 1412696.]",1395034.2,"[2583640. 2593884. 2564508. 2291960. 2802920. 2451872. 2660908. 2681904.
 2499240. 2512996. 2577540. 2796404. 2542788. 2459728. 2471728. 2725760.
 2263416. 2541648. 2539168. 2537304.]",2554965.8,135235.59596777766,0.0,"[1919004. 1902352. 1739544. 2211716. 2336568. 1904524. 2061324. 2490056.
 2101252. 2098664. 2249472. 2479196. 2393040. 2677372. 1893140. 2136420.
 2188656. 1920760. 2444752. 2312568.]",2173019.0,"[2030996. 2047648. 2210456. 1738284. 1613432. 2045476. 1888676. 1459944.
 1848748. 1851336. 1700528. 1470804. 1556960. 1272628. 2056860. 1813580.
 1761344. 2029240. 1505248. 1637432.]",1776981.0,243815.6816379947,0.0,"[2657624. 2796740. 3068148. 3550980. 2639832. 2619144. 2619144. 3025432.
 3056456. 2990988. 2661244. 2506816. 2686476. 2907928. 2743672. 2843908.
 3141996. 2986644. 2759708. 2609732.]",2843630.6,"[1292376. 1153260.  881852.  399020. 1310168. 1330856. 1330856.  924568.
  893544.  959012. 1288756. 1443184. 1263524. 1042072. 1206328. 1106092.
  808004.  963356. 1190292. 1340268.]",1106369.4,243586.75370315192,0.0
6000,35000,80,1,3,1,1.0,362.0,3950000,"[3317296. 3391460. 4038786. 3327332. 4399146. 3756056. 3165148. 3380238.
 3396836. 3987228. 4465446. 4457482. 3645800. 3959508. 3375478. 4136272.
 3651176. 3800482. 3830374. 3179112.]",3733032.8,"[ 632704.  558540.  -88786.  622668. -449146.  193944.  784852.  569762.
  553164.  -37228. -515446. -507482.  304200.   -9508.  574522. -186272.
  298824.  149518.  119626.  770888.]",216967.2,409547.4323623089,0.35,"[6109614. 6113388. 5061692. 6508446. 5498796. 5532000. 5755308. 5925918.
 6089342. 5456334. 5367698. 5139938. 6177000. 5044316. 4893254. 5977946.
 4695648. 5933058. 5452976. 5206862.]",5596976.7,"[-2159614. -2163388. -1111692. -2558446. -1548796. -1582000. -1805308.
 -1975918. -2139342. -1506334. -1417698. -1189938. -2227000. -1094316.
  -943254. -2027946.  -745648. -1983058. -1502976. -1256862.]",-1646976.7,484668.29643634625,1.0,"[7947976. 6927412. 7648694. 7139552. 8208624. 8776880. 7137172. 7889848.
 7477722. 8047372. 7904228. 7446536. 8273892. 6888316. 7676414. 8328038.
 7084890. 6977884. 7042636. 7608150.]",7621611.8,"[-3997976. -2977412. -3698694. -3189552. -4258624. -4826880. -3187172.
 -3939848. -3527722. -4097372. -3954228. -3496536. -4323892. -2938316.
 -3726414. -4378038. -3134890. -3027884. -3092636. -3658150.]",-3671611.8,530235.1108234535,1.0
6000,35000,80,1,3,1,0.5,362.0,3950000,"[2529976. 2082474. 2136212. 2050102. 1971440. 2121832. 1959856. 2322696.
 1860406. 1954842. 2357502. 1914244. 2062772. 1953548. 1979974. 1668384.
 2205662. 2400942. 2115732. 2212078.]",2093033.7,"[1420024. 1867526. 1813788. 1899898. 1978560. 1828168. 1990144. 1627304.
 2089594. 1995158. 1592498. 2035756. 1887228. 1996452. 1970026. 2281616.
 1744338. 1549058. 1834268. 1737922.]",1856966.3,198949.25962895667,0.0,"[2691444. 2994608. 3542746. 3082366. 2659796. 2766070. 3263736. 2972934.
 2923132. 3287474. 2763536. 3183110. 3201518. 2815148. 3139824. 3075488.
 3079832. 3195626. 3190350. 2982500.]",3040561.9,"[1258556.  955392.  407254.  867634. 1290204. 1183930.  686264.  977066.
 1026868.  662526. 1186464.  766890.  748482. 1134852.  810176.  874512.
  870168.  754374.  759650.  967500.]",909438.1,219504.51574532583,0.0,"[4187192. 3869910. 4043678. 4859034. 3875802. 4326308. 4079054. 3907766.
 4814870. 3797664. 4262696. 4163762. 4468990. 4172296. 3903060. 3831538.
 4267664. 4064728. 3882272. 4017922.]",4139810.3,"[-237192.   80090.  -93678. -909034.   74198. -376308. -129054.   42234.
 -864870.  152336. -312696. -213762. -518990. -222296.   46940.  118462.
 -317664. -114728.   67728.  -67922.]",-189810.3,292894.26764501556,0.65
6000,35000,80,1,3,1,0.35,362.0,3950000,"[1622826. 1500570. 1367970. 1579278. 1235270. 1655560. 1582590. 1780866.
 1639840. 1519186. 1514480. 1693054. 1642890. 1322874. 1583106. 1702620.
 1584346. 1643460. 1487430. 1547576.]",1560289.6,"[2327174. 2449430. 2582030. 2370722. 2714730. 2294440. 2367410. 2169134.
 2310160. 2430814. 2435520. 2256946. 2307110. 2627126. 2366894. 2247380.
 2365654. 2306540. 2462570. 2402424.]",2389710.4,129105.85766509591,0.0,"[2385854. 2493476. 2495240. 2529368. 2349708. 2145224. 2123758. 2396822.
 2190112. 2058028. 2547160. 2649090. 2482200. 2259046. 2716630. 2573532.
 2484634. 2512716. 2343916. 2207850.]",2397218.2,"[1564146. 1456524. 1454760. 1420632. 1600292. 1804776. 1826242. 1553178.
 1759888. 1891972. 1402840. 1300910. 1467800. 1690954. 1233370. 1376468.
 1465366. 1437284. 1606084. 1742150.]",1552781.8,178882.2271237699,0.0,"[3167506. 3468960. 3170764. 2791118. 3221136. 3135134. 3055594. 2721768.
 2912858. 3033096. 3247408. 2938144. 2885500. 3120446. 3439530. 3095984.
 2781760. 3164456. 3096292. 3139940.]",3079369.7,"[ 782494.  481040.  779236. 1158882.  728864.  814866.  894406. 1228232.
 1037142.  916904.  702592. 1011856. 1064500.  829554.  510470.  854016.
 1168240.  785544.  853708.  810060.]",870630.3,193613.2327422638,0.0
6000,35000,80,1,3,2,1.0,362.0,3950000,"[3529746. 4610796. 4262482. 3806746. 3948196. 4494686. 3386756. 4212726.
 3603448. 3822258. 4693386. 2649006. 3224872. 3448658. 4007980. 4301940.
 4721314. 3949228. 4849316. 3948142.]",3973584.1,"[ 4.202540e+05 -6.607960e+05 -3.124820e+05  1.432540e+05  1.804000e+03
 -5.446860e+05  5.632440e+05 -2.627260e+05  3.465520e+05  1.277420e+05
 -7.433860e+05  1.300994e+06  7.251280e+05  5.013420e+05 -5.798000e+04
 -3.519400e+05 -7.713140e+05  7.720000e+02 -8.993160e+05  1.858000e+03]",-23584.1,551949.4108787416,0.45,"[5670996. 6701620. 6430358. 6053030. 7132994. 6035654. 6665058. 6851650.
 6808464. 6620786. 4894150. 6314410. 5790980. 6522576. 5323660. 5904140.
 7340998. 5832248. 6497182. 7063274.]",6322711.4,"[-1720996. -2751620. -2480358. -2103030. -3182994. -2085654. -2715058.
 -2901650. -2858464. -2670786.  -944150. -2364410. -1840980. -2572576.
 -1373660. -1954140. -3390998. -1882248. -2547182. -3113274.]",-2372711.4,612639.4950569543,1.0,"[8787992. 9402446. 7767358. 7569328. 9146804. 8190298. 6530740. 6630814.
 7672352. 9141482. 7187856. 8284018. 8253756. 7634126. 8402084. 7875396.
 7361940. 8110912. 9068974. 8968484.]",8099358.0,"[-4837992. -5452446. -3817358. -3619328. -5196804. -4240298. -2580740.
 -2680814. -3722352. -5191482. -3237856. -4334018. -4303756. -3684126.
 -4452084. -3925396. -3411940. -4160912. -5118974. -5018484.]",-4149358.0,807491.0328824711,1.0
